BPS,EVT,ACRES
BPS  Hardwood-Conifer,EVT  Riparian,0
BPS  Hardwood-Conifer,EVT  Shrubland,5
BPS  Hardwood-Conifer,EVT  Exotic Herbaceous,127
BPS  Hardwood,EVT  Grassland,10
BPS  Hardwood,EVT  Shrubland,1
BPS  Hardwood,EVT  Conifer,4
BPS  Hardwood,EVT  Hardwood,111
BPS  Hardwood,EVT  Conifer-Hardwood,199
BPS  Hardwood,EVT  Hardwood,276
BPS  Hardwood,EVT  Conifer-Hardwood,635
BPS  Hardwood,EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,1
BPS  Hardwood,EVT  Developed-Low Intensity,141
BPS  Hardwood,EVT  Developed-Medium Intensity,76
BPS  Hardwood,EVT  Developed-High Intensity,10
BPS  Hardwood,EVT  Developed-Roads,299
BPS  Hardwood,EVT  Hardwood,1386
BPS  Hardwood,EVT  Hardwood,6
BPS  Hardwood,EVT  Conifer,280
BPS  Hardwood,EVT  Conifer,882
BPS  Hardwood,EVT  Conifer,7
BPS  Hardwood,EVT  Conifer,8
BPS  Hardwood,EVT  Conifer,19
BPS  Hardwood,EVT  Conifer,2
BPS  Hardwood,EVT  Hardwood,32
BPS  Hardwood,EVT  Conifer,1
BPS  Hardwood,EVT  Riparian,94
BPS  Hardwood,EVT  Conifer-Hardwood,16
BPS  Hardwood,EVT  Hardwood,25
BPS  Hardwood,EVT  Conifer-Hardwood,31
BPS  Hardwood,EVT  Hardwood,3
BPS  Hardwood,EVT  Conifer-Hardwood,7
BPS  Hardwood,EVT  Hardwood,0
BPS  Hardwood,EVT  Conifer-Hardwood,0
BPS  Hardwood,EVT  Developed,84
BPS  Hardwood,EVT  Developed,52
BPS  Hardwood,EVT  Developed,86
BPS  Hardwood,EVT  Developed,136
BPS  Hardwood,EVT  Developed,32
BPS  Hardwood,EVT  Developed,107
BPS  Hardwood,EVT  Developed,153
BPS  Hardwood,EVT  Developed,75
BPS  Hardwood,EVT  Developed,24
BPS  Hardwood,EVT  Developed,48
BPS  Hardwood,EVT  Developed,15
BPS  Hardwood,EVT  Developed,1
BPS  Hardwood,EVT  Developed,0
BPS  Hardwood,EVT  Agricultural,3
BPS  Hardwood,EVT  Agricultural,60
BPS  Hardwood,EVT  Agricultural,35
BPS  Hardwood,EVT  Agricultural,9
BPS  Hardwood,EVT  Agricultural,544
BPS  Hardwood,EVT  Agricultural,0
BPS  Hardwood,EVT  Riparian,0
BPS  Hardwood,EVT  Riparian,0
BPS  Hardwood,EVT  Riparian,0
BPS  Hardwood,EVT  Riparian,2
BPS  Hardwood,EVT  Riparian,25
BPS  Hardwood,EVT  Riparian,3
BPS  Hardwood,EVT  Riparian,1
BPS  Hardwood,EVT  Riparian,10
BPS  Hardwood,EVT  Riparian,1
BPS  Hardwood,EVT  Riparian,0
BPS  Hardwood,EVT  Riparian,7
BPS  Hardwood,EVT  Riparian,14
BPS  Hardwood,EVT  Conifer,1
BPS  Hardwood,EVT  Hardwood,2
BPS  Hardwood,EVT  Conifer,115
BPS  Hardwood,EVT  Riparian,1
BPS  Hardwood,EVT  Conifer-Hardwood,18
BPS  Hardwood,EVT  Exotic Tree-Shrub,6
BPS  Hardwood,EVT  Riparian,1
BPS  Hardwood,EVT  Shrubland,0
BPS  Hardwood,EVT  Exotic Herbaceous,27
BPS  Hardwood-Conifer,EVT  Hardwood,4
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,4
BPS  Hardwood-Conifer,EVT  Hardwood,5
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,20
BPS  Hardwood-Conifer,EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,3
BPS  Hardwood-Conifer,EVT  Developed-Low Intensity,30
BPS  Hardwood-Conifer,EVT  Developed-Medium Intensity,29
BPS  Hardwood-Conifer,EVT  Developed-High Intensity,12
BPS  Hardwood-Conifer,EVT  Developed-Roads,56
BPS  Hardwood-Conifer,EVT  Hardwood,96
BPS  Hardwood-Conifer,EVT  Hardwood,0
BPS  Hardwood-Conifer,EVT  Conifer,14
BPS  Hardwood-Conifer,EVT  Conifer,15
BPS  Hardwood-Conifer,EVT  Conifer,1
BPS  Hardwood-Conifer,EVT  Conifer,1
BPS  Hardwood-Conifer,EVT  Conifer,4
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,14
BPS  Hardwood-Conifer,EVT  Riparian,4
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,1
BPS  Hardwood-Conifer,EVT  Hardwood,1
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,1
BPS  Hardwood-Conifer,EVT  Hardwood,0
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,4
BPS  Hardwood-Conifer,EVT  Developed,6
BPS  Hardwood-Conifer,EVT  Developed,1
BPS  Hardwood-Conifer,EVT  Developed,6
BPS  Hardwood-Conifer,EVT  Developed,23
BPS  Hardwood-Conifer,EVT  Developed,2
BPS  Hardwood-Conifer,EVT  Developed,18
BPS  Hardwood-Conifer,EVT  Developed,3
BPS  Hardwood-Conifer,EVT  Developed,8
BPS  Hardwood-Conifer,EVT  Developed,2
