BPS_NAME,EVT_PHYS2,ACRES
Central Appalachian Dry Oak-Pine Forest,NaturalVeg,9681094.326
Central Appalachian Dry Oak-Pine Forest,Developed,3462547.098
Central Appalachian Dry Oak-Pine Forest,Exotics,131188.236
Central Appalachian Dry Oak-Pine Forest,OtherClearing,13112.874
Ozark-Ouachita Dry Oak Woodland,Agricultural,3353757.552
Ozark-Ouachita Dry Oak Woodland,NaturalVeg,9290564.358
Ozark-Ouachita Dry Oak Woodland,Developed,1404035.892
Ozark-Ouachita Dry Oak Woodland,Exotics,325022.874
Ozark-Ouachita Dry Oak Woodland,OtherClearing,3375.066
Western Great Plains Sandhill Steppe,Agricultural,2089323.474
Western Great Plains Sandhill Steppe,NaturalVeg,10239904.73
Western Great Plains Sandhill Steppe,Developed,373111.848
Western Great Plains Sandhill Steppe,Exotics,1072040.664
Western Great Plains Sandhill Steppe,OtherClearing,33170.574
Rocky Mountain Montane Riparian Systems,Agricultural,2509836.762
Rocky Mountain Montane Riparian Systems,NaturalVeg,9746281.518
Rocky Mountain Montane Riparian Systems,Developed,548836.614
Rocky Mountain Montane Riparian Systems,Exotics,379783.17
Rocky Mountain Montane Riparian Systems,OtherClearing,29082.222
Crosstimbers Oak Forest and Woodland,Agricultural,2025192.114
Crosstimbers Oak Forest and Woodland,NaturalVeg,7581925.152
Crosstimbers Oak Forest and Woodland,Developed,1660057.392
Crosstimbers Oak Forest and Woodland,Exotics,1881412.038
Crosstimbers Oak Forest and Woodland,OtherClearing,18551.43
North-Central Interior Maple-Basswood Forest,Agricultural,6808769.748
North-Central Interior Maple-Basswood Forest,NaturalVeg,3376231.5
North-Central Interior Maple-Basswood Forest,Developed,1508551.272
North-Central Interior Maple-Basswood Forest,Exotics,530242.116
North-Central Interior Maple-Basswood Forest,OtherClearing,4755.684
Mojave Mid-Elevation Mixed Desert Scrub,Agricultural,29437.644
Mojave Mid-Elevation Mixed Desert Scrub,NaturalVeg,11358451.51
Mojave Mid-Elevation Mixed Desert Scrub,Developed,278009.046
Mojave Mid-Elevation Mixed Desert Scrub,Exotics,460262.61
Mojave Mid-Elevation Mixed Desert Scrub,OtherClearing,16729.476
Colorado Plateau Pinyon-Juniper Woodland,Agricultural,75344.802
Colorado Plateau Pinyon-Juniper Woodland,NaturalVeg,11473245.49
Colorado Plateau Pinyon-Juniper Woodland,Developed,67718.658
Colorado Plateau Pinyon-Juniper Woodland,Exotics,123009.312
Colorado Plateau Pinyon-Juniper Woodland,OtherClearing,6066.15
Appalachian (Hemlock-)Northern Hardwood Forest,Agricultural,1278123.93
Appalachian (Hemlock-)Northern Hardwood Forest,NaturalVeg,8036721.234
Appalachian (Hemlock-)Northern Hardwood Forest,Developed,2274217.506
Appalachian (Hemlock-)Northern Hardwood Forest,Exotics,133347.186
Appalachian (Hemlock-)Northern Hardwood Forest,OtherClearing,9664.548
West Gulf Coastal Plain Pine-Hardwood Forest,Agricultural,1584615.132
West Gulf Coastal Plain Pine-Hardwood Forest,NaturalVeg,7629858.948
West Gulf Coastal Plain Pine-Hardwood Forest,Developed,1434757.584
West Gulf Coastal Plain Pine-Hardwood Forest,Exotics,536170.182
West Gulf Coastal Plain Pine-Hardwood Forest,OtherClearing,22205.55
Inter-Mountain Basins Greasewood Flat,Agricultural,1237622.25
Inter-Mountain Basins Greasewood Flat,NaturalVeg,7243795.398
Inter-Mountain Basins Greasewood Flat,Developed,300749.616
Inter-Mountain Basins Greasewood Flat,Exotics,1647798.996
Inter-Mountain Basins Greasewood Flat,OtherClearing,17568.858
Ozark-Ouachita Dry-Mesic Oak Forest,Agricultural,2589776.742
Ozark-Ouachita Dry-Mesic Oak Forest,NaturalVeg,6681537.552
Ozark-Ouachita Dry-Mesic Oak Forest,Developed,778569.096
Ozark-Ouachita Dry-Mesic Oak Forest,Exotics,253583.052
Ozark-Ouachita Dry-Mesic Oak Forest,OtherClearing,2041.956
Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Agricultural,418908.672
Acadian Low-Elevation Spruce-Fir-Hardwood Forest,NaturalVeg,9106400.484
Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Developed,615946.992
Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Exotics,125039.724
Acadian Low-Elevation Spruce-Fir-Hardwood Forest,OtherClearing,2524.14
Southern Rocky Mountain Ponderosa Pine Woodland,Agricultural,73632.738
Southern Rocky Mountain Ponderosa Pine Woodland,NaturalVeg,9819373.464
Southern Rocky Mountain Ponderosa Pine Woodland,Developed,147324.306
Southern Rocky Mountain Ponderosa Pine Woodland,Exotics,69386.1
Southern Rocky Mountain Ponderosa Pine Woodland,OtherClearing,1803.528
Edwards Plateau Limestone Savanna and Woodland,Agricultural,202503.516
Edwards Plateau Limestone Savanna and Woodland,NaturalVeg,6588175.452
Edwards Plateau Limestone Savanna and Woodland,Developed,795654.882
Edwards Plateau Limestone Savanna and Woodland,Exotics,2279113.938
Edwards Plateau Limestone Savanna and Woodland,OtherClearing,15123.972
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Agricultural,1349483.61
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NaturalVeg,7262315.082
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Developed,1086991.476
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Exotics,100556.676
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,OtherClearing,3086.022
Southern Blackland Tallgrass Prairie,Agricultural,4820511.774
Southern Blackland Tallgrass Prairie,NaturalVeg,1298117.916
Southern Blackland Tallgrass Prairie,Developed,2389756.518
Southern Blackland Tallgrass Prairie,Exotics,1280860.302
Southern Blackland Tallgrass Prairie,OtherClearing,9546.666
Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Agricultural,25674.744
Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,NaturalVeg,9295069.182
Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Developed,19230.306
