GP,VDEP,Percent
Calcareous,58,0.060903517
Calcareous,60,2.636603358
Calcareous,61,1.074367005
Calcareous,62,16.36735994
Calcareous,65,3.027245566
Calcareous,71,0.258931972
Calcareous,73,2.37487E-05
Calcareous,75,0.167131409
Calcareous,76,0.151944121
Calcareous,79,31.51768262
Calcareous,80,2.344328225
Calcareous,83,3.441244612
Calcareous,84,6.609058677
Calcareous,85,0.041952062
Calcareous,86,0.738049926
Calcareous,89,1.137348532
Calcareous,95,5.489474165
Calcareous,97,0.021385696
Calcareous,100,5.745271309
Loam,24,0.000993005
Loam,30,0.447100549
Loam,33,11.69040087
Loam,36,0.000331002
Loam,38,0.129338915
Loam,43,0.004882275
Loam,44,0.321319902
Loam,47,0.093176979
Loam,50,0.44329403
Loam,53,0.238817728
Loam,54,1.553225487
Loam,57,5.624877426
Loam,58,19.76800091
Loam,59,1.092553868
Loam,60,7.221050384
Loam,61,0.025569881
Loam,62,2.875742789
Loam,63,5.092047436
Loam,65,2.598942615
Loam,70,0.139186216
Loam,71,0.099797013
Loam,75,0.074806385
Loam,76,0.000662003
Loam,79,16.86337822
Loam,80,2.699401632
Loam,83,9.797319383
Loam,84,2.683844552
Loam,85,0.010426554
Loam,86,0.489468767
Loam,89,0.025073379
Loam,95,6.527436317
Loam,97,1.00144565
Loam,100,0.366087883
Moderately calcareous,24,0.024475656
Moderately calcareous,30,0.229305598
Moderately calcareous,33,7.837605774
Moderately calcareous,36,0.000543442
Moderately calcareous,38,0.155736088
Moderately calcareous,43,0.039588082
Moderately calcareous,44,0.041821241
Moderately calcareous,47,0.056182351
Moderately calcareous,50,0.110885829
Moderately calcareous,53,9.063393078
Moderately calcareous,54,0.117558578
Moderately calcareous,57,1.539409489
Moderately calcareous,58,7.050741046
Moderately calcareous,59,5.469629102
Moderately calcareous,60,1.277761696
Moderately calcareous,61,0.383726142
Moderately calcareous,62,10.33779019
Moderately calcareous,63,23.02827238
Moderately calcareous,65,2.103320647
Moderately calcareous,70,0.299335315
Moderately calcareous,71,0.024246995
Moderately calcareous,73,6.23621E-05
Moderately calcareous,75,0.118698914
Moderately calcareous,76,0.059024283
Moderately calcareous,79,21.56307978
Moderately calcareous,80,0.97454211
Moderately calcareous,83,2.048204392
Moderately calcareous,84,1.183217718
Moderately calcareous,85,0.043374355
Moderately calcareous,86,0.581687339
Moderately calcareous,89,0.179205041
Moderately calcareous,95,3.164935157
Moderately calcareous,97,0.015023337
Moderately calcareous,100,0.877616493
Sand,9,0.023630085
Sand,19,0.88574675
Sand,21,11.79423502
Sand,24,0.250384498
Sand,27,0.648530804
Sand,30,0.017795066
Sand,31,0.137023025
Sand,33,2.990311759
Sand,34,8.457324305
Sand,38,0.402707333
Sand,39,0.999714602
Sand,41,0.00430759
Sand,43,0.101724602
Sand,44,0.206481952
Sand,45,5.30365922
Sand,47,0.330463143
Sand,48,3.483715755
Sand,50,0.680288754
Sand,52,2.935534356
Sand,53,0.001311412
Sand,54,1.603524716
Sand,57,1.539584436
Sand,58,3.056403707
Sand,59,0.979202311
Sand,60,0.023792523
Sand,61,0.280888016
Sand,62,5.782450579
Sand,63,0.072782532
Sand,64,0.000315521
Sand,65,0.191746849
Sand,66,4.881253487
Sand,67,0.978026122
Sand,68,0.1757318
Sand,70,0.001160881
Sand,71,0.151482579
Sand,72,0.017420862
Sand,73,0.000495819
Sand,74,0.497791529
Sand,75,0.09328802
Sand,76,1.335882644
Sand,79,9.05958998
Sand,80,0.139905241
Sand,82,22.30493163
Sand,83,0.684652474
Sand,84,2.107620719
Sand,85,0.181251298
Sand,86,1.203498038
Sand,89,0.002750394
Sand,95,1.965485567
Sand,96,0.472379726
Sand,97,0.201774645
Sand,98,0.312927469
Sand,100,0.045117856
Silt/clay,24,0.013816061
Silt/clay,30,0.679890209
Silt/clay,33,12.4418261
Silt/clay,36,0.020435828
Silt/clay,38,0.370017171
Silt/clay,43,0.002645848
Silt/clay,44,0.217258072
Silt/clay,46,0.000257378
Silt/clay,47,0.028785176
Silt/clay,50,0.159718605
Silt/clay,53,0.207549767
Silt/clay,54,1.782961626
Silt/clay,57,3.967330267
Silt/clay,58,15.84295525
Silt/clay,59,0.97270422
Silt/clay,60,5.017567091
Silt/clay,61,0.487052179
Silt/clay,62,2.686523771
Silt/clay,63,5.653229432
Silt/clay,65,4.30964325
Silt/clay,70,0.047491422
Silt/clay,71,0.126794788
Silt/clay,75,0.061956076
Silt/clay,76,0.006238847
Silt/clay,79,10.3522344
Silt/clay,80,2.314344623
Silt/clay,83,9.820594023
Silt/clay,84,0.780164749
Silt/clay,85,0.027374744
Silt/clay,86,11.3421006
Silt/clay,89,0.233586144
Silt/clay,95,9.359238482
Silt/clay,97,0.292000696
Silt/clay,100,0.373713122
Mafic/Intermediate Granitic,9,3.871931149
Mafic/Intermediate Granitic,19,2.203364617
Mafic/Intermediate Granitic,21,5.754303491
Mafic/Intermediate Granitic,24,0.011953232
Mafic/Intermediate Granitic,27,17.06904126
Mafic/Intermediate Granitic,31,0.34145237
Mafic/Intermediate Granitic,33,2.537793372
Mafic/Intermediate Granitic,34,5.609206955
Mafic/Intermediate Granitic,43,0.001657748
Mafic/Intermediate Granitic,45,0.072024768
Mafic/Intermediate Granitic,48,0.339750998
Mafic/Intermediate Granitic,52,1.324278542
Mafic/Intermediate Granitic,54,0.202114326
Mafic/Intermediate Granitic,57,0.008506862
Mafic/Intermediate Granitic,58,1.391809942
Mafic/Intermediate Granitic,59,0.013480105
Mafic/Intermediate Granitic,61,0.545704318
Mafic/Intermediate Granitic,62,8.291791489
Mafic/Intermediate Granitic,65,0.016359351
Mafic/Intermediate Granitic,66,0.502690132
Mafic/Intermediate Granitic,67,0.004318869
Mafic/Intermediate Granitic,72,0.024735338
Mafic/Intermediate Granitic,73,0.000392624
Mafic/Intermediate Granitic,74,0.119750448
Mafic/Intermediate Granitic,79,0.521317979
Mafic/Intermediate Granitic,80,0.663927893
Mafic/Intermediate Granitic,82,46.27706982
Mafic/Intermediate Granitic,83,0.436554729
Mafic/Intermediate Granitic,85,0.307075921
Mafic/Intermediate Granitic,86,1.52128875
Mafic/Intermediate Granitic,96,0.000218125
Mafic/Intermediate Granitic,98,0.014134479
Moderately Calcareous Sedimentary,19,0.688336141
Moderately Calcareous Sedimentary,21,0.955071959
Moderately Calcareous Sedimentary,24,0.013383641
Moderately Calcareous Sedimentary,27,0.001795938
Moderately Calcareous Sedimentary,30,0.435811657
Moderately Calcareous Sedimentary,31,3.138292136
Moderately Calcareous Sedimentary,33,0.953970971
Moderately Calcareous Sedimentary,34,2.05619271
Moderately Calcareous Sedimentary,38,0.006559077
Moderately Calcareous Sedimentary,41,0.000327954
Moderately Calcareous Sedimentary,43,14.93206787
Moderately Calcareous Sedimentary,45,1.256024298
Moderately Calcareous Sedimentary,47,0.04473447
Moderately Calcareous Sedimentary,48,0.023034855
Moderately Calcareous Sedimentary,50,0.059094165
Moderately Calcareous Sedimentary,52,0.108349713
Moderately Calcareous Sedimentary,53,0.001046329
Moderately Calcareous Sedimentary,54,0.049388292
Moderately Calcareous Sedimentary,57,1.532903261
Moderately Calcareous Sedimentary,58,0.008636119
Moderately Calcareous Sedimentary,59,2.727654843
Moderately Calcareous Sedimentary,60,0.13118155
Moderately Calcareous Sedimentary,61,0.03600465
Moderately Calcareous Sedimentary,62,6.229999206
Moderately Calcareous Sedimentary,63,0.026095758
Moderately Calcareous Sedimentary,65,4.739417612
Moderately Calcareous Sedimentary,66,37.19562269
Moderately Calcareous Sedimentary,67,0.592651694
Moderately Calcareous Sedimentary,70,0.000671525
Moderately Calcareous Sedimentary,71,0.207688504
Moderately Calcareous Sedimentary,72,7.80843E-06
Moderately Calcareous Sedimentary,73,7.80843E-06
Moderately Calcareous Sedimentary,74,0.014203526
Moderately Calcareous Sedimentary,75,0.004239975
Moderately Calcareous Sedimentary,76,0.005864128
Moderately Calcareous Sedimentary,79,4.685133437
Moderately Calcareous Sedimentary,80,0.005380005
Moderately Calcareous Sedimentary,82,3.033854444
Moderately Calcareous Sedimentary,83,0.506837096
Moderately Calcareous Sedimentary,84,0.706623474
Moderately Calcareous Sedimentary,85,0.058204004
Moderately Calcareous Sedimentary,86,7.345948157
Moderately Calcareous Sedimentary,89,0.441433724
Moderately Calcareous Sedimentary,95,0.515285813
Moderately Calcareous Sedimentary,96,0.394911124
Moderately Calcareous Sedimentary,97,0.01497656
Moderately Calcareous Sedimentary,98,4.041156962
Moderately Calcareous Sedimentary,100,0.073922365
Ultramafic,21,15.841473
Ultramafic,27,0.437857865
Ultramafic,33,0.033681374
Ultramafic,34,8.038621309
Ultramafic,52,1.190075222
Ultramafic,54,0.101044123
Ultramafic,58,20.64668238
Ultramafic,61,0.011227125
Ultramafic,62,3.547771416
Ultramafic,79,0.898169979
Ultramafic,82,47.62546312
Ultramafic,83,1.627933086
Loam over limestone,33,49.6350365
Loam over limestone,46,0.589556429
Loam over limestone,54,5.586749017
Loam over limestone,57,0.140370578
Loam over limestone,60,0.084222347
Loam over limestone,61,4.351487928
Loam over limestone,62,0.168444694
Loam over limestone,65,8.309938237
Loam over limestone,79,0.140370578
Loam over limestone,80,0.617630545
Loam over limestone,83,0.982594048
Loam over limestone,85,0.224592925
Loam over limestone,86,4.941044357
Loam over limestone,95,22.96462661
Loam over limestone,100,1.263335205
 Silt/clay over limestone,33,37.66919665
 Silt/clay over limestone,38,0.001113441
 Silt/clay over limestone,46,0.068291054
 Silt/clay over limestone,53,0.090188728
